radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,222,1,43,129485001,83,13.6034828,46.1762947,0,1,1,1657389479,1657389479,
LTE,222,1,45,10527746,358,16.1887570,41.7731522,23,2,1,1654169725,1654169725,
LTE,222,1,45,10556182,249,16.1943393,41.7801007,214,8,1,1654169725,1654169725,
LTE,222,1,113,51595011,13,11.2496972,43.2666566,0,1,1,1657215227,1657215227,
LTE,222,1,113,51720705,0,11.1814948,43.2437821,3968,82,1,1598435448,1644070242,
LTE,222,1,113,51720706,349,11.1992492,43.2387432,13301,517,1,1591001956,1657215185,
LTE,222,1,117,51517441,80,10.3059365,44.0066158,2380,100,1,1657384024,1657384063,
LTE,222,1,117,51517442,79,10.2733960,43.9992223,577,18,1,1657384024,1657384024,
LTE,222,1,117,51517444,36,10.3110441,44.0124382,279,2,1,1657384063,1657384063,
LTE,222,1,117,51517445,37,10.2756884,43.9999437,116,6,1,1657384024,1657384024,
LTE,222,1,117,51831849,337,10.0952276,44.0479824,8171,43,1,1605694807,1655922954,
LTE,222,1,117,51831851,336,10.0558907,44.1217320,106,3,1,1653157847,1653157847,
LTE,222,1,117,51831869,446,10.0852549,44.1013206,5479,48,1,1646573989,1653157847,
LTE,222,1,119,51675649,,10.4093194,44.1097316,0,7,1,1655848438,1657582344,
LTE,222,1,121,51676971,289,11.3956721,43.6582673,0,1,1,1629011165,1629011165,
LTE,222,1,137,51777321,,10.1767774,42.7365574,190,13,1,1650393266,1650438565,
LTE,222,1,137,51777341,,10.2541088,42.7949078,9044,39,1,1650190544,1656318677,
LTE,222,1,140,51683842,411,11.4958526,43.0488735,45,2,1,1657215101,1657215101,
LTE,222,1,142,51602689,,10.7141432,43.1810585,0,1,1,1657084600,1657084600,
LTE,222,1,143,51663873,,10.5299393,43.3108895,0,48,1,1655204419,1655727527,
LTE,222,1,149,51751682,338,11.5720641,43.1849385,3794,6,1,1657215080,1657215080,
LTE,222,1,150,51550212,94,11.4775322,43.0696885,29225,12,1,1657215091,1657215185,
LTE,222,1,150,51579905,,10.8562938,43.1471095,0,5,1,1655348556,1655780541,
LTE,222,1,150,51579908,,10.8562938,43.1471095,0,13,1,1655262167,1657951668,
LTE,222,1,157,51333380,,11.2911559,43.7055251,0,1,1,1657157222,1657157222,
LTE,222,1,160,51672838,,11.5418666,43.5521744,0,1,1,1657239578,1657239578,
LTE,222,1,174,51542559,,11.8121076,43.3231145,0,1,1,1657949860,1657949860,
LTE,222,1,175,51459841,,11.8079603,43.2230164,2,9,1,1655406654,1657888232,
LTE,222,1,175,51486467,62,11.5846466,43.1676038,999,17,1,1657215080,1657215080,
LTE,222,1,175,51486470,67,11.4901941,43.2751092,86,4,1,1657215018,1657215018,
LTE,222,1,175,51559684,34,11.4869330,43.0784307,11391,85,1,1657215091,1657215162,
LTE,222,1,175,51559685,33,11.5018596,43.0429732,4303,55,1,1657215101,1657215156,
LTE,222,1,175,51559686,,11.4674402,43.0397767,0,2,1,1657714909,1657772389,
LTE,222,1,175,51564290,,11.7016290,42.9291939,11,10,1,1655331295,1657578203,
LTE,222,1,175,51564291,83,11.4949008,43.0484140,42,2,1,1657215101,1657215101,
LTE,222,1,175,51751937,177,11.5866103,43.1526353,1163,36,1,1657215080,1657215080,
LTE,222,1,175,51751938,179,11.5767349,43.1310771,3185,55,1,1657215080,1657215091,
LTE,222,1,176,51689001,483,11.5105071,43.2617582,6239,30,1,1657215018,1657215080,
LTE,222,1,176,51689021,397,11.5459561,43.2003477,85,3,1,1657215080,1657215080,
LTE,222,1,178,51322628,50,11.2096895,43.9611534,714,20,1,1657141507,1657141597,
LTE,222,1,178,51659778,,11.3803620,43.9596220,0,1,1,1657947690,1657947690,
LTE,222,1,185,51331333,203,11.1772721,43.8595096,350,11,1,1657141597,1657141597,
LTE,222,1,185,51332100,403,11.2089486,43.9540898,88,4,1,1657141597,1657141597,
LTE,222,1,185,51332101,404,11.1840588,43.8817476,2034,11,1,1657141597,1657141597,
LTE,222,1,185,51369476,10,11.1527586,43.8079324,142,6,1,1657141709,1657141709,
LTE,222,1,185,51711750,344,11.3621260,43.2697217,139,5,1,1657215162,1657215162,
LTE,222,1,187,51494973,,11.2912453,43.5643697,0,1,1,1657860920,1657860920,
LTE,222,1,187,51707137,,11.1719497,43.5422658,0,1,1,1657676076,1657676076,
LTE,222,1,187,51707138,286,11.1774607,43.4827048,13306,21,1,1657141880,1657141919,
LTE,222,1,187,51707139,282,11.1520553,43.4843971,201,8,1,1657141880,1657141880,
LTE,222,1,187,51707140,201,11.1955397,43.5152657,1351,20,1,1657141880,1657141880,
LTE,222,1,187,51707141,203,11.1888299,43.5061871,1243,31,1,1657141880,1657141880,
LTE,222,1,187,51755817,187,11.2173074,43.5337055,431,7,1,1657141880,1657141880,
LTE,222,1,187,51755818,188,11.2076208,43.5284472,876,20,1,1657141880,1657141880,
LTE,222,1,187,51755819,186,11.2134044,43.5460398,1173,27,1,1657141880,1657141880,
LTE,222,1,201,51309057,428,10.1627440,43.9732288,1348,108,1,1480102966,1645995655,
LTE,222,1,201,51309058,426,10.1782951,43.9738962,11522,1188,1,1443117626,1650897092,
LTE,222,1,201,51309059,427,10.1594986,43.9876279,11686,745,1,1442853607,1651338450,
LTE,222,1,201,51309060,306,10.1791586,43.9745948,16815,1645,1,1467771592,1645995655,
LTE,222,1,201,51309061,307,10.1652405,43.9732091,2425,423,1,1467822870,1650897087,
LTE,222,1,201,51309062,308,10.1611823,43.9869950,8411,1304,1,1467278120,1651338437,
LTE,222,1,201,51309065,467,10.1638699,43.9864346,1500,61,1,1594989758,1647800653,
LTE,222,1,201,51309569,357,10.2315849,43.9315949,19036,785,1,1436475569,1631656525,
LTE,222,1,201,51309572,94,10.2340526,43.9192473,2663,152,1,1600757345,1631656525,
LTE,222,1,201,51309573,,10.2309575,43.9563327,21,1130,1,1600789449,1651742832,
LTE,222,1,201,51309578,251,10.2288417,43.9102712,17,2,1,1631656525,1631656525,
LTE,222,1,201,51309579,,10.2310023,43.9563257,21,27,1,1633917247,1656035034,
LTE,222,1,201,51309830,17,10.1726950,43.9599126,1507,20,1,1545524645,1645995655,
LTE,222,1,201,51309831,389,10.1884321,43.9622124,2048,473,1,1534235378,1650897092,
LTE,222,1,201,51309833,387,10.1720083,43.9601271,244,15,1,1559329723,1645995655,
LTE,222,1,201,51309836,110,10.1731189,43.9624355,397,7,1,1586530154,1650897092,
LTE,222,1,201,51310084,21,10.2153877,43.9086789,419,41,1,1594779319,1632517105,
LTE,222,1,201,51310085,22,10.2635488,43.9246060,7826,31,1,1582550267,1632517105,
LTE,222,1,201,51310087,397,10.2178623,43.9083490,0,1,1,1632517105,1632517105,
LTE,222,1,201,51310338,304,10.2033596,43.9259085,22716,119,1,1433796289,1653157847,
LTE,222,1,201,51310596,34,10.2261433,43.9279127,14053,2441,1,1467278125,1645397334,
LTE,222,1,201,51310597,33,10.2176779,43.9360752,1983,540,1,1467237954,1645397334,
LTE,222,1,201,51310598,35,10.2132773,43.9434038,13112,1418,1,1467278125,1645397336,
LTE,222,1,201,51310654,,10.2357200,43.8837390,0,2,1,1653074419,1653116313,
LTE,222,1,201,51361284,315,10.1765108,43.9623787,486,41,1,1483468267,1645995655,
LTE,222,1,201,51361285,316,10.1689809,43.9627996,36871,232,1,1476977287,1645995655,
LTE,222,1,201,51361286,317,10.1826202,43.9743724,18232,343,1,1477234644,1645995655,
LTE,222,1,201,51361312,,10.1697229,43.9600724,1,3,1,1652736739,1655916548,
LTE,222,1,201,51361321,315,10.1888048,43.9660112,145,6,1,1650897087,1650897087,
LTE,222,1,201,51361322,,10.1696952,43.9600451,10,42,1,1648416724,1656193091,
LTE,222,1,201,51361341,375,10.1787473,43.9685930,178,5,1,1650897092,1650897092,
LTE,222,1,201,51361342,,10.1572046,43.9695168,13,15,1,1649194679,1655463236,
LTE,222,1,201,51389444,223,10.1496059,43.9827739,4888,66,1,1495265455,1645995655,
LTE,222,1,201,51389445,224,10.1512325,43.9713697,2248,359,1,1489001436,1645995655,
LTE,222,1,201,51389446,222,10.1364180,43.9832168,2539,476,1,1497054018,1645995655,
LTE,222,1,201,51389448,39,10.1501257,43.9730680,2288,85,1,1542073041,1645995655,
LTE,222,1,201,51389449,41,10.1397161,43.9821928,2577,128,1,1559796931,1655602024,
LTE,222,1,201,51389451,392,10.1490345,43.9731576,2261,28,1,1561420981,1645995655,
LTE,222,1,201,51389454,,10.1532824,43.9695421,288,6,1,1628906040,1653616442,
LTE,222,1,201,51441961,395,10.1686797,43.9569886,427,4,1,1625521705,1645995655,
LTE,222,1,201,51441962,394,10.1669355,43.9580051,381,15,1,1645995655,1645995655,
